State Observation from node 8 at different cw 
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.93346e+09ns	+1.65399e+07ns	IDLE	178	39
+1.95e+09ns	+250000ns	SWITCHING	178	39
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.95025e+09ns	+4.975e+07ns	IDLE	172	40
+2e+09ns	+250000ns	SWITCHING	172	40
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.00025e+09ns	+3.81203e+06ns	IDLE	178	41
+2.00406e+09ns	+36000ns	CCA_BUSY	178	41
+2.0041e+09ns	+0ns	CCA_BUSY	178	41
+2.0041e+09ns	+728000ns	RX	178	41
+2.00483e+09ns	+1.4904e+07ns	IDLE	178	41
+2.01973e+09ns	+768000ns	TX	178	41
+2.0205e+09ns	+1.19303e+06ns	IDLE	178	41
+2.02169e+09ns	+36000ns	CCA_BUSY	178	41
+2.02173e+09ns	+0ns	CCA_BUSY	178	41
+2.02173e+09ns	+728000ns	RX	178	41
+2.02246e+09ns	+1.55717e+06ns	IDLE	178	41
+2.02401e+09ns	+36000ns	CCA_BUSY	178	41
+2.02405e+09ns	+0ns	CCA_BUSY	178	41
+2.02405e+09ns	+728000ns	RX	178	41
+2.02478e+09ns	+2.52238e+07ns	IDLE	178	41
+2.05e+09ns	+250000ns	SWITCHING	178	41
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.05025e+09ns	+4.975e+07ns	IDLE	172	42
+2.1e+09ns	+250000ns	SWITCHING	172	42
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.10025e+09ns	+3.81202e+06ns	IDLE	178	43
+2.10406e+09ns	+36000ns	CCA_BUSY	178	43
+2.1041e+09ns	+0ns	CCA_BUSY	178	43
+2.1041e+09ns	+728000ns	RX	178	43
+2.10483e+09ns	+17ns	CCA_BUSY	178	43
+2.10483e+09ns	+2.4615e+07ns	IDLE	178	43
+2.12944e+09ns	+768000ns	TX	178	43
+2.13021e+09ns	+1.1749e+07ns	IDLE	178	43
+2.14196e+09ns	+36000ns	CCA_BUSY	178	43
+2.14199e+09ns	+0ns	CCA_BUSY	178	43
+2.14199e+09ns	+728000ns	RX	178	43
+2.14272e+09ns	+7.27794e+06ns	IDLE	178	43
+2.15e+09ns	+250000ns	SWITCHING	178	43
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.15025e+09ns	+4.975e+07ns	IDLE	172	44
+2.2e+09ns	+250000ns	SWITCHING	172	44
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.20025e+09ns	+3.81202e+06ns	IDLE	178	45
+2.20406e+09ns	+36000ns	CCA_BUSY	178	45
+2.2041e+09ns	+0ns	CCA_BUSY	178	45
+2.2041e+09ns	+728000ns	RX	178	45
+2.20483e+09ns	+17ns	CCA_BUSY	178	45
+2.20483e+09ns	+2.66081e+07ns	IDLE	178	45
+2.23143e+09ns	+36000ns	CCA_BUSY	178	45
+2.23147e+09ns	+0ns	CCA_BUSY	178	45
+2.23147e+09ns	+728000ns	RX	178	45
+2.2322e+09ns	+1.2135e+07ns	IDLE	178	45
+2.24433e+09ns	+768000ns	TX	178	45
+2.2451e+09ns	+4.8989e+06ns	IDLE	178	45
+2.25e+09ns	+250000ns	SWITCHING	178	45
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.25025e+09ns	+4.975e+07ns	IDLE	172	46
+2.3e+09ns	+250000ns	SWITCHING	172	46
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.30025e+09ns	+3.81202e+06ns	IDLE	178	47
+2.30406e+09ns	+764000ns	CCA_BUSY	178	47
+2.30483e+09ns	+1.68191e+07ns	IDLE	178	47
+2.32165e+09ns	+36000ns	CCA_BUSY	178	47
